servicedate,stationname,validations
1/3/2018,Alewife,11331
1/3/2018,Andrew,5745
1/3/2018,Aquarium,3890
1/3/2018,Arlington,6745
1/3/2018,Ashmont,7914
1/3/2018,Assembly,2691
1/3/2018,Back Bay,15147
1/3/2018,Beachmont,2812
1/3/2018,Bowdoin,2101
1/3/2018,Boylston,4692
1/3/2018,Braintree,4233
1/3/2018,Broadway,5612
1/3/2018,Central,14042
1/3/2018,Charles MGH,10006
1/3/2018,Chinatown,6430
1/3/2018,Community College,2705
1/3/2018,Copley,11956
1/3/2018,Courthouse,2011
1/3/2018,Davis,9533
1/3/2018,Downtown Crossing,20191
1/3/2018,Fields Corner,4527
1/3/2018,Forest Hills,11474
1/3/2018,Government Center,6800
1/3/2018,Green Street,2946
1/3/2018,Harvard,16478
1/3/2018,Haymarket,9714
1/3/2018,Hynes Convention Center,5486
1/3/2018,Jackson Square,4970
1/3/2018,JFK/Umass,5878
1/3/2018,Kendall/MIT,14777
1/3/2018,Kenmore,5562
1/3/2018,Lechmere,4911
1/3/2018,Malden Center,10176
1/3/2018,Massachusetts Ave.,4973
1/3/2018,Maverick,10098
1/3/2018,North Quincy,6015
1/3/2018,North Station,17185
1/3/2018,Oak Grove,6233
1/3/2018,Orient Heights,3664
1/3/2018,Park Street,14650
1/3/2018,Porter,7364
1/3/2018,Prudential,3383
1/3/2018,Quincy Adams,4490
1/3/2018,Quincy Center,7558
1/3/2018,Revere Beach,2698
1/3/2018,Riverside,1271
1/3/2018,Roxbury Crossing,3846
1/3/2018,Ruggles,7462
1/3/2018,Savin Hill,2061
1/3/2018,Science Park,728
1/3/2018,Shawmut,2116
1/3/2018,South Station,25645
1/3/2018,State Street,13890
1/3/2018,Stony Brook,3158
1/3/2018,Suffolk Downs,343
1/3/2018,Sullivan Square,7955
1/3/2018,Symphony,1370
1/3/2018,Tufts Medical Center,6160
1/3/2018,Wellington,6594
1/3/2018,Wollaston,3188
1/3/2018,Wonderland,4215
1/3/2018,Wood Island,1848
1/3/2018,World Trade Center,865
1/4/2018,Airport,1941
1/4/2018,Alewife,1510
1/4/2018,Andrew,1802
1/4/2018,Aquarium,411
1/4/2018,Arlington,1247
1/4/2018,Ashmont,1998
1/4/2018,Assembly,409
1/4/2018,Back Bay,3044
1/4/2018,Beachmont,840
1/4/2018,Bowdoin,662
1/4/2018,Boylston,962
1/4/2018,Braintree,939
1/4/2018,Broadway,1514
1/4/2018,Central,2534
1/4/2018,Charles MGH,4658
1/4/2018,Chinatown,1533
1/4/2018,Community College,477
1/4/2018,Copley,2114
1/4/2018,Courthouse,441
1/4/2018,Davis,1851
1/4/2018,Downtown Crossing,4291
1/4/2018,Fields Corner,1073
1/4/2018,Forest Hills,2829
1/4/2018,Government Center,1074
1/4/2018,Green Street,525
1/4/2018,Harvard,2804
1/4/2018,Haymarket,2476
1/4/2018,Hynes Convention Center,1087
1/4/2018,Jackson Square,1264
1/4/2018,JFK/Umass,967
1/4/2018,Kendall/MIT,1868
1/4/2018,Kenmore,1273
1/4/2018,Lechmere,601
1/4/2018,Malden Center,2304
1/4/2018,Massachusetts Ave.,1380
1/4/2018,Maverick,3162
1/4/2018,North Quincy,1214
1/4/2018,North Station,2918
1/4/2018,Oak Grove,1111
1/4/2018,Orient Heights,752
1/4/2018,Park Street,2154
1/4/2018,Porter,1284
1/4/2018,Prudential,1115
1/4/2018,Quincy Adams,646
1/4/2018,Quincy Center,1415
1/4/2018,Revere Beach,879
1/4/2018,Riverside,107
1/4/2018,Roxbury Crossing,708
1/4/2018,Ruggles,2118
1/4/2018,Savin Hill,452
1/4/2018,Science Park,179
1/4/2018,Shawmut,517
1/4/2018,South Station,4673
1/4/2018,State Street,2829
1/4/2018,Stony Brook,584
1/4/2018,Suffolk Downs,45
1/4/2018,Sullivan Square,1974
1/4/2018,Symphony,291
1/4/2018,Tufts Medical Center,1788
1/4/2018,Wellington,1330
1/4/2018,Wollaston,664
1/4/2018,Wonderland,1466
1/4/2018,Wood Island,402
1/4/2018,World Trade Center,204
1/5/2018,Airport,4997
1/5/2018,Alewife,7486
1/5/2018,Andrew,4113
1/5/2018,Aquarium,1562
1/5/2018,Arlington,4921
1/5/2018,Ashmont,5298
1/5/2018,Assembly,1679
1/5/2018,Back Bay,10905
1/5/2018,Beachmont,1921
1/5/2018,Bowdoin,1527
1/5/2018,Boylston,3708
1/5/2018,Braintree,2839
1/5/2018,Broadway,4452
