servicedate,stationname,validations
3/3/2018,Ruggles,4100
3/3/2018,Savin Hill,903
3/3/2018,Science Park,615
3/3/2018,Shawmut,941
3/3/2018,South Station,6263
3/3/2018,State Street,4442
3/3/2018,Stony Brook,1872
3/3/2018,Suffolk Downs,282
3/3/2018,Sullivan Square,4649
3/3/2018,Symphony,1529
3/3/2018,Tufts Medical Center,2439
3/3/2018,Wellington,2929
3/3/2018,Wonderland,2933
3/3/2018,Wood Island,1161
3/3/2018,World Trade Center,430
3/4/2018,Airport,4064
3/4/2018,Alewife,2719
3/4/2018,Andrew,2188
3/4/2018,Aquarium,2201
3/4/2018,Arlington,2244
3/4/2018,Ashmont,2630
3/4/2018,Assembly,1609
3/4/2018,Back Bay,4585
3/4/2018,Beachmont,1315
3/4/2018,Bowdoin,312
3/4/2018,Boylston,3511
3/4/2018,Braintree,1003
3/4/2018,Broadway,1847
3/4/2018,Central,6687
3/4/2018,Charles MGH,2557
3/4/2018,Chinatown,3182
3/4/2018,Community College,1118
3/4/2018,Copley,6369
3/4/2018,Courthouse,567
3/4/2018,Davis,4341
3/4/2018,Downtown Crossing,8586
3/4/2018,Fields Corner,1955
3/4/2018,Forest Hills,4279
3/4/2018,Government Center,2216
3/4/2018,Green Street,996
3/4/2018,Harvard,8675
3/4/2018,Haymarket,4376
3/4/2018,Hynes Convention Center,4431
3/4/2018,Jackson Square,2111
3/4/2018,JFK/Umass,1969
3/4/2018,Kendall/MIT,3742
3/4/2018,Kenmore,3305
3/4/2018,Lechmere,2785
3/4/2018,Malden Center,4043
3/4/2018,Massachusetts Ave.,2437
3/4/2018,Maverick,4931
3/4/2018,North Quincy,2362
3/4/2018,North Station,3126
3/4/2018,Oak Grove,1625
3/4/2018,Orient Heights,1539
3/4/2018,Park Street,5726
3/4/2018,Porter,3078
3/4/2018,Prudential,2008
3/4/2018,Quincy Adams,751
3/4/2018,Quincy Center,2282
3/4/2018,Revere Beach,1490
3/4/2018,Riverside,464
3/4/2018,Roxbury Crossing,1361
3/4/2018,Ruggles,2775
3/4/2018,Savin Hill,675
3/4/2018,Science Park,416
3/4/2018,Shawmut,695
3/4/2018,South Station,6020
3/4/2018,State Street,3410
3/4/2018,Stony Brook,1170
3/4/2018,Suffolk Downs,191
3/4/2018,Sullivan Square,2927
3/4/2018,Symphony,887
3/4/2018,Tufts Medical Center,1921
3/4/2018,Wellington,1867
3/4/2018,Wonderland,2326
3/4/2018,Wood Island,925
3/4/2018,World Trade Center,369
3/5/2018,Airport,6376
3/5/2018,Alewife,11133
3/5/2018,Andrew,6020
3/5/2018,Aquarium,4060
3/5/2018,Arlington,6634
3/5/2018,Ashmont,8975
3/5/2018,Assembly,3082
3/5/2018,Back Bay,15062
3/5/2018,Beachmont,2953
3/5/2018,Bowdoin,1892
3/5/2018,Boylston,4767
3/5/2018,Braintree,3939
3/5/2018,Broadway,6068
3/5/2018,Central,15005
3/5/2018,Charles MGH,9988
3/5/2018,Chinatown,5650
3/5/2018,Community College,5322
3/5/2018,Copley,11298
3/5/2018,Courthouse,1800
3/5/2018,Davis,11532
3/5/2018,Downtown Crossing,23917
3/5/2018,Fields Corner,4961
3/5/2018,Forest Hills,12837
3/5/2018,Government Center,7163
3/5/2018,Green Street,2783
3/5/2018,Harvard,18104
3/5/2018,Haymarket,9503
3/5/2018,Hynes Convention Center,6541
3/5/2018,Jackson Square,5413
3/5/2018,JFK/Umass,8732
3/5/2018,Kendall/MIT,16599
3/5/2018,Kenmore,5717
3/5/2018,Lechmere,5420
3/5/2018,Malden Center,11281
3/5/2018,Massachusetts Ave.,5931
3/5/2018,Maverick,10528
3/5/2018,North Quincy,8608
3/5/2018,North Station,14420
3/5/2018,Oak Grove,6451
3/5/2018,Orient Heights,3939
3/5/2018,Park Street,13994
3/5/2018,Porter,7925
3/5/2018,Prudential,3018
3/5/2018,Quincy Adams,4393
3/5/2018,Quincy Center,7537
3/5/2018,Revere Beach,2830
3/5/2018,Riverside,1390
3/5/2018,Roxbury Crossing,4597
3/5/2018,Ruggles,8407
3/5/2018,Savin Hill,1853
3/5/2018,Science Park,724
3/5/2018,Shawmut,2283
3/5/2018,South Station,24051
3/5/2018,State Street,13879
3/5/2018,Stony Brook,3442
3/5/2018,Suffolk Downs,347
3/5/2018,Sullivan Square,8487
3/5/2018,Symphony,1430
3/5/2018,Tufts Medical Center,6297
3/5/2018,Wellington,6842
3/5/2018,Wonderland,6577
3/5/2018,Wood Island,2054
3/5/2018,World Trade Center,847
3/6/2018,Airport,6364
3/6/2018,Alewife,11592
3/6/2018,Andrew,4862
3/6/2018,Aquarium,4198
3/6/2018,Arlington,6976
3/6/2018,Ashmont,9557
3/6/2018,Assembly,3431
3/6/2018,Back Bay,15695
3/6/2018,Beachmont,3152
3/6/2018,Bowdoin,2239
3/6/2018,Boylston,5039
3/6/2018,Braintree,4405
3/6/2018,Broadway,6263
3/6/2018,Central,15395
3/6/2018,Charles MGH,10578
3/6/2018,Chinatown,5826
3/6/2018,Community College,5307
3/6/2018,Copley,11691
3/6/2018,Courthouse,1909
3/6/2018,Davis,12022
3/6/2018,Downtown Crossing,24666
3/6/2018,Fields Corner,5065
3/6/2018,Forest Hills,13266
3/6/2018,Government Center,7265
3/6/2018,Green Street,3045
3/6/2018,Harvard,18595
3/6/2018,Haymarket,10116
3/6/2018,Hynes Convention Center,6536
3/6/2018,Jackson Square,5571
3/6/2018,JFK/Umass,9141
3/6/2018,Kendall/MIT,17161
3/6/2018,Kenmore,5969
3/6/2018,Lechmere,5525
3/6/2018,Malden Center,11687
3/6/2018,Massachusetts Ave.,5831
3/6/2018,Maverick,10983
3/6/2018,North Quincy,8754
3/6/2018,North Station,17824
3/6/2018,Oak Grove,6804
3/6/2018,Orient Heights,4189
3/6/2018,Park Street,14770
3/6/2018,Porter,8200
3/6/2018,Prudential,3255
3/6/2018,Quincy Adams,4890
3/6/2018,Quincy Center,8174
3/6/2018,Revere Beach,2999
3/6/2018,Riverside,1612
3/6/2018,Roxbury Crossing,4828
3/6/2018,Ruggles,8745
3/6/2018,Savin Hill,2039
3/6/2018,Science Park,777
3/6/2018,Shawmut,2311
3/6/2018,South Station,24783
3/6/2018,State Street,14445
3/6/2018,Stony Brook,3545
3/6/2018,Suffolk Downs,339
3/6/2018,Sullivan Square,9284
3/6/2018,Symphony,1373
3/6/2018,Tufts Medical Center,6660
3/6/2018,Wellington,7560
3/6/2018,Wonderland,6876
3/6/2018,Wood Island,2111
3/6/2018,World Trade Center,760
3/7/2018,Airport,5691
3/7/2018,Alewife,9251
3/7/2018,Andrew,5226
3/7/2018,Aquarium,3618
3/7/2018,Arlington,6099
3/7/2018,Ashmont,8329
3/7/2018,Assembly,2521
3/7/2018,Back Bay,13241
3/7/2018,Beachmont,2800
3/7/2018,Bowdoin,2001
3/7/2018,Boylston,4478
3/7/2018,Braintree,3724
3/7/2018,Broadway,5469
3/7/2018,Central,13014
3/7/2018,Charles MGH,9710
3/7/2018,Chinatown,4720
3/7/2018,Community College,4292
3/7/2018,Copley,10014
3/7/2018,Courthouse,1986
3/7/2018,Davis,10206
3/7/2018,Downtown Crossing,21384
3/7/2018,Fields Corner,4385
3/7/2018,Forest Hills,11702
3/7/2018,Government Center,6460
3/7/2018,Green Street,2739
3/7/2018,Harvard,16545
3/7/2018,Haymarket,8668
3/7/2018,Hynes Convention Center,5708
3/7/2018,Jackson Square,4820
3/7/2018,JFK/Umass,7226
3/7/2018,Kendall/MIT,14950
3/7/2018,Kenmore,5207
3/7/2018,Lechmere,4580
3/7/2018,Malden Center,9505
3/7/2018,Massachusetts Ave.,5013
3/7/2018,Maverick,9564
3/7/2018,North Quincy,7373
3/7/2018,North Station,12893
3/7/2018,Oak Grove,5688
3/7/2018,Orient Heights,3668
3/7/2018,Park Street,11773
3/7/2018,Porter,7018
3/7/2018,Prudential,3127
3/7/2018,Quincy Adams,4133
3/7/2018,Quincy Center,6886
3/7/2018,Revere Beach,2638
3/7/2018,Riverside,1037
3/7/2018,Roxbury Crossing,3975
3/7/2018,Ruggles,7622
3/7/2018,Savin Hill,2054
3/7/2018,Science Park,688
3/7/2018,Shawmut,2068
3/7/2018,South Station,21511
3/7/2018,State Street,12727
3/7/2018,Stony Brook,2960
3/7/2018,Suffolk Downs,356
3/7/2018,Sullivan Square,7643
3/7/2018,Symphony,1282
3/7/2018,Tufts Medical Center,6282
3/7/2018,Wellington,6026
3/7/2018,Wonderland,6119
3/7/2018,Wood Island,1834
3/7/2018,World Trade Center,815
3/8/2018,Airport,5342
3/8/2018,Alewife,7508
3/8/2018,Andrew,4180
3/8/2018,Aquarium,3431
3/8/2018,Arlington,4831
3/8/2018,Ashmont,5694
3/8/2018,Assembly,2370
3/8/2018,Back Bay,10646
3/8/2018,Beachmont,2295
3/8/2018,Bowdoin,1568
3/8/2018,Boylston,3904
3/8/2018,Braintree,2983
3/8/2018,Broadway,4387
3/8/2018,Central,12312
3/8/2018,Charles MGH,8812
3/8/2018,Chinatown,4038
3/8/2018,Community College,1875
3/8/2018,Copley,8995
3/8/2018,Courthouse,1593
3/8/2018,Davis,9580
3/8/2018,Downtown Crossing,16319
3/8/2018,Fields Corner,3060
3/8/2018,Forest Hills,8649
3/8/2018,Government Center,4923
3/8/2018,Green Street,2180
3/8/2018,Harvard,15355
3/8/2018,Haymarket,7552
3/8/2018,Hynes Convention Center,5231
3/8/2018,Jackson Square,3863
3/8/2018,JFK/Umass,3315
3/8/2018,Kendall/MIT,12729
3/8/2018,Kenmore,4596
3/8/2018,Lechmere,4415
3/8/2018,Malden Center,7741
3/8/2018,Massachusetts Ave.,4563
3/8/2018,Maverick,8265
3/8/2018,North Quincy,5857
3/8/2018,North Station,11640
3/8/2018,Oak Grove,4367
3/8/2018,Orient Heights,3093
3/8/2018,Park Street,9674
3/8/2018,Porter,6253
3/8/2018,Prudential,2510
3/8/2018,Quincy Adams,3113
3/8/2018,Quincy Center,5398
3/8/2018,Revere Beach,2226
3/8/2018,Riverside,176
3/8/2018,Roxbury Crossing,2497
3/8/2018,Ruggles,5658
3/8/2018,Savin Hill,1564
3/8/2018,Science Park,581
3/8/2018,Shawmut,1424
3/8/2018,South Station,17453
3/8/2018,State Street,9376
3/8/2018,Stony Brook,2525
3/8/2018,Suffolk Downs,260
3/8/2018,Sullivan Square,6492
3/8/2018,Symphony,945
3/8/2018,Tufts Medical Center,4864
3/8/2018,Wellington,4683
3/8/2018,Wonderland,4362
3/8/2018,Wood Island,1378
3/8/2018,World Trade Center,637
3/9/2018,Airport,7027
3/9/2018,Alewife,11027
3/9/2018,Andrew,5874
3/9/2018,Aquarium,4464
3/9/2018,Arlington,6499
3/9/2018,Ashmont,8920
3/9/2018,Assembly,3223
3/9/2018,Back Bay,14461
3/9/2018,Beachmont,2992
3/9/2018,Bowdoin,1981
3/9/2018,Boylston,5604
3/9/2018,Braintree,4146
3/9/2018,Broadway,5929
3/9/2018,Central,15596
3/9/2018,Charles MGH,9916
3/9/2018,Chinatown,6143
3/9/2018,Community College,3673
3/9/2018,Copley,11890
3/9/2018,Courthouse,2037
3/9/2018,Davis,12416
3/9/2018,Downtown Crossing,24677
3/9/2018,Fields Corner,5003
3/9/2018,Forest Hills,13071
3/9/2018,Government Center,6913
3/9/2018,Green Street,2870
3/9/2018,Harvard,19816
3/9/2018,Haymarket,11955
3/9/2018,Hynes Convention Center,6994
3/9/2018,Jackson Square,5474
3/9/2018,JFK/Umass,8173
3/9/2018,Kendall/MIT,16503
3/9/2018,Kenmore,6685
3/9/2018,Lechmere,5525
3/9/2018,Malden Center,10817
3/9/2018,Massachusetts Ave.,4265
3/9/2018,Maverick,11188
3/9/2018,North Quincy,8311
3/9/2018,North Station,13922
3/9/2018,Oak Grove,6212
3/9/2018,Orient Heights,4084
3/9/2018,Park Street,14228
3/9/2018,Porter,8349
3/9/2018,Prudential,3260
3/9/2018,Quincy Adams,4549
3/9/2018,Quincy Center,7579
3/9/2018,Revere Beach,2957
3/9/2018,Riverside,1172
3/9/2018,Roxbury Crossing,4686
3/9/2018,Ruggles,8344
3/9/2018,Savin Hill,2263
3/9/2018,Science Park,918
3/9/2018,Shawmut,2238
3/9/2018,South Station,24379
3/9/2018,State Street,13454
3/9/2018,Stony Brook,3559
3/9/2018,Suffolk Downs,462
3/9/2018,Sullivan Square,8492
3/9/2018,Symphony,1486
3/9/2018,Tufts Medical Center,6151
3/9/2018,Wellington,6658
3/9/2018,Wonderland,6305
3/9/2018,Wood Island,2101
3/9/2018,World Trade Center,844
3/10/2018,Airport,5352
3/10/2018,Alewife,4712
3/10/2018,Andrew,3155
3/10/2018,Aquarium,3290
3/10/2018,Arlington,3390
3/10/2018,Ashmont,4293
3/10/2018,Assembly,2566
3/10/2018,Back Bay,7162
3/10/2018,Beachmont,1739
3/10/2018,Bowdoin,543
3/10/2018,Boylston,4472
3/10/2018,Braintree,1970
3/10/2018,Broadway,2632
3/10/2018,Central,9327
3/10/2018,Charles MGH,3375
3/10/2018,Chinatown,4422
3/10/2018,Community College,1644
3/10/2018,Copley,8772
3/10/2018,Courthouse,865
3/10/2018,Davis,6699
3/10/2018,Downtown Crossing,12805
3/10/2018,Fields Corner,2764
3/10/2018,Forest Hills,6538
3/10/2018,Government Center,3645
3/10/2018,Green Street,1651
3/10/2018,Harvard,12259
3/10/2018,Haymarket,9520
3/10/2018,Hynes Convention Center,5669
3/10/2018,Jackson Square,3052
3/10/2018,JFK/Umass,2878
3/10/2018,Kendall/MIT,4996
3/10/2018,Kenmore,7692
3/10/2018,Lechmere,3940
3/10/2018,Malden Center,6048
3/10/2018,Massachusetts Ave.,3593
3/10/2018,Maverick,7046
3/10/2018,North Quincy,3698
3/10/2018,North Station,7045
3/10/2018,Oak Grove,2812
3/10/2018,Orient Heights,2451
3/10/2018,Park Street,8077
3/10/2018,Porter,4413
3/10/2018,Prudential,2364
3/10/2018,Quincy Adams,1528
3/10/2018,Quincy Center,3321
3/10/2018,Revere Beach,1965
3/10/2018,Riverside,948
3/10/2018,Roxbury Crossing,2159
3/10/2018,Ruggles,3961
3/10/2018,Savin Hill,1222
3/10/2018,Science Park,836
3/10/2018,Shawmut,1012
3/10/2018,South Station,8105
3/10/2018,State Street,4873
3/10/2018,Stony Brook,1902
3/10/2018,Suffolk Downs,301
3/10/2018,Sullivan Square,5036
3/10/2018,Symphony,1438
3/10/2018,Tufts Medical Center,2993
3/10/2018,Wellington,3109
3/10/2018,Wonderland,3466
3/10/2018,Wood Island,1301
3/10/2018,World Trade Center,339
3/11/2018,Airport,4768
3/11/2018,Alewife,3242
3/11/2018,Andrew,2195
3/11/2018,Aquarium,2175
3/11/2018,Arlington,2546
3/11/2018,Ashmont,2697
3/11/2018,Assembly,1886
3/11/2018,Back Bay,5290
3/11/2018,Beachmont,1363
3/11/2018,Bowdoin,499
3/11/2018,Boylston,3661
3/11/2018,Braintree,1197
3/11/2018,Broadway,1899
3/11/2018,Central,6753
3/11/2018,Charles MGH,2709
3/11/2018,Chinatown,3466
3/11/2018,Community College,1195
3/11/2018,Copley,6631
3/11/2018,Courthouse,520
3/11/2018,Davis,4400
3/11/2018,Downtown Crossing,8453
3/11/2018,Fields Corner,2000
3/11/2018,Forest Hills,4424
3/11/2018,Government Center,2310
3/11/2018,Green Street,1079
3/11/2018,Harvard,8959
3/11/2018,Haymarket,5189
3/11/2018,Hynes Convention Center,4269
3/11/2018,Jackson Square,2209
3/11/2018,JFK/Umass,2004
3/11/2018,Kendall/MIT,3927
3/11/2018,Kenmore,5910
3/11/2018,Lechmere,2983
3/11/2018,Malden Center,4269
3/11/2018,Massachusetts Ave.,2588
3/11/2018,Maverick,4972
3/11/2018,North Quincy,2834
3/11/2018,North Station,6759
3/11/2018,Oak Grove,1891
3/11/2018,Orient Heights,1630
3/11/2018,Park Street,5750
3/11/2018,Porter,3149
3/11/2018,Prudential,2119
3/11/2018,Quincy Adams,854
3/11/2018,Quincy Center,2234
3/11/2018,Revere Beach,1507
3/11/2018,Riverside,629
3/11/2018,Roxbury Crossing,1219
3/11/2018,Ruggles,2843
3/11/2018,Savin Hill,816
3/11/2018,Science Park,558
3/11/2018,Shawmut,729
3/11/2018,South Station,7623
3/11/2018,State Street,3420
3/11/2018,Stony Brook,1327
3/11/2018,Suffolk Downs,220
3/11/2018,Sullivan Square,3385
3/11/2018,Symphony,1000
3/11/2018,Tufts Medical Center,2239
3/11/2018,Wellington,2154
3/11/2018,Wonderland,2567
3/11/2018,Wood Island,1014
3/11/2018,World Trade Center,413
3/12/2018,Airport,7117
3/12/2018,Alewife,11493
3/12/2018,Andrew,6009
3/12/2018,Aquarium,4122
3/12/2018,Arlington,6827
3/12/2018,Ashmont,8802
3/12/2018,Assembly,3384
3/12/2018,Back Bay,15866
3/12/2018,Beachmont,3052
3/12/2018,Bowdoin,2071
3/12/2018,Boylston,5998
3/12/2018,Braintree,4278
3/12/2018,Broadway,6056
3/12/2018,Central,15255
3/12/2018,Charles MGH,10182
3/12/2018,Chinatown,6291
3/12/2018,Community College,2736
3/12/2018,Copley,12175
3/12/2018,Courthouse,1899
3/12/2018,Davis,11563
3/12/2018,Downtown Crossing,24234
3/12/2018,Fields Corner,4898
3/12/2018,Forest Hills,12861
3/12/2018,Government Center,6974
3/12/2018,Green Street,3157
3/12/2018,Harvard,17513
3/12/2018,Haymarket,10135
3/12/2018,Hynes Convention Center,6937
3/12/2018,Jackson Square,5616
3/12/2018,JFK/Umass,5830
3/12/2018,Kendall/MIT,17390
3/12/2018,Kenmore,7254
3/12/2018,Lechmere,5720
3/12/2018,Malden Center,11485
3/12/2018,Massachusetts Ave.,5937
3/12/2018,Maverick,10542
3/12/2018,North Quincy,8376
3/12/2018,North Station,15545
3/12/2018,Oak Grove,6527
3/12/2018,Orient Heights,4146
3/12/2018,Park Street,13462
3/12/2018,Porter,8006
3/12/2018,Prudential,3050
3/12/2018,Quincy Adams,4889
3/12/2018,Quincy Center,7424
3/12/2018,Revere Beach,2907
3/12/2018,Riverside,1570
3/12/2018,Roxbury Crossing,4172
3/12/2018,Ruggles,10039
3/12/2018,Savin Hill,2268
3/12/2018,Science Park,829
3/12/2018,Shawmut,2301
3/12/2018,South Station,25100
3/12/2018,State Street,14298
3/12/2018,Stony Brook,3489
3/12/2018,Suffolk Downs,320
3/12/2018,Sullivan Square,7835
3/12/2018,Symphony,1617
3/12/2018,Tufts Medical Center,6044
3/12/2018,Wellington,7178
3/12/2018,Wonderland,6642
3/12/2018,Wood Island,2123
3/12/2018,World Trade Center,1238
3/13/2018,Airport,1570
3/13/2018,Alewife,1198
3/13/2018,Andrew,1329
3/13/2018,Aquarium,758
3/13/2018,Arlington,1208
3/13/2018,Ashmont,1678
3/13/2018,Assembly,340
3/13/2018,Back Bay,2486
3/13/2018,Beachmont,689
3/13/2018,Bowdoin,613
3/13/2018,Boylston,1085
3/13/2018,Braintree,584
3/13/2018,Broadway,1219
3/13/2018,Central,2563
3/13/2018,Charles MGH,3700
3/13/2018,Chinatown,1244
3/13/2018,Community College,382
3/13/2018,Copley,1911
3/13/2018,Courthouse,338
3/13/2018,Davis,1696
3/13/2018,Downtown Crossing,3146
3/13/2018,Fields Corner,870
3/13/2018,Forest Hills,2235
3/13/2018,Government Center,919
3/13/2018,Green Street,410
3/13/2018,Harvard,2813
3/13/2018,Haymarket,2014
3/13/2018,Hynes Convention Center,1225
3/13/2018,Jackson Square,1077
3/13/2018,JFK/Umass,884
3/13/2018,Kendall/MIT,1977
3/13/2018,Kenmore,1361
3/13/2018,Lechmere,461
3/13/2018,Malden Center,1699
3/13/2018,Massachusetts Ave.,1112
3/13/2018,Maverick,2623
3/13/2018,North Quincy,1194
3/13/2018,North Station,2049
3/13/2018,Oak Grove,785
3/13/2018,Orient Heights,576
3/13/2018,Park Street,1721
3/13/2018,Porter,1152
3/13/2018,Prudential,1171
3/13/2018,Quincy Adams,446
3/13/2018,Quincy Center,1035
3/13/2018,Revere Beach,728
3/13/2018,Riverside,41
3/13/2018,Roxbury Crossing,604
3/13/2018,Ruggles,1681
3/13/2018,Savin Hill,359
3/13/2018,Science Park,117
3/13/2018,Shawmut,405
3/13/2018,South Station,3187
3/13/2018,State Street,1995
3/13/2018,Stony Brook,515
3/13/2018,Suffolk Downs,18
3/13/2018,Sullivan Square,1625
3/13/2018,Symphony,336
3/13/2018,Tufts Medical Center,1463
3/13/2018,Wellington,1087
3/13/2018,Wonderland,1152
3/13/2018,Wood Island,272
3/13/2018,World Trade Center,257
3/14/2018,Airport,5731
3/14/2018,Alewife,9522
3/14/2018,Andrew,4957
3/14/2018,Aquarium,3338
3/14/2018,Arlington,6178
3/14/2018,Ashmont,6698
3/14/2018,Assembly,2839
3/14/2018,Back Bay,14174
3/14/2018,Beachmont,2561
3/14/2018,Bowdoin,1891
3/14/2018,Boylston,5709
3/14/2018,Braintree,3536
3/14/2018,Broadway,5513
3/14/2018,Central,14950
3/14/2018,Charles MGH,9752
3/14/2018,Chinatown,5026
3/14/2018,Community College,1906
3/14/2018,Copley,11371
3/14/2018,Courthouse,1751
3/14/2018,Davis,11228
3/14/2018,Downtown Crossing,20688
3/14/2018,Fields Corner,3516
3/14/2018,Forest Hills,10569
3/14/2018,Government Center,6101
3/14/2018,Green Street,2568
3/14/2018,Harvard,16768
3/14/2018,Haymarket,9187
3/14/2018,Hynes Convention Center,7196
3/14/2018,Jackson Square,4680
3/14/2018,JFK/Umass,3926
3/14/2018,Kendall/MIT,15412
3/14/2018,Kenmore,6560
3/14/2018,Lechmere,5423
3/14/2018,Malden Center,9615
3/14/2018,Massachusetts Ave.,5746
3/14/2018,Maverick,9380
3/14/2018,North Quincy,6986
3/14/2018,North Station,15953
3/14/2018,Oak Grove,5475
3/14/2018,Orient Heights,3203
3/14/2018,Park Street,12968
3/14/2018,Porter,7674
3/14/2018,Prudential,3049
3/14/2018,Quincy Adams,3841
3/14/2018,Quincy Center,6392
3/14/2018,Revere Beach,2459
3/14/2018,Riverside,1156
3/14/2018,Roxbury Crossing,2881
3/14/2018,Ruggles,8324
3/14/2018,Savin Hill,1807
3/14/2018,Science Park,784
3/14/2018,Shawmut,1652
3/14/2018,South Station,21792
3/14/2018,State Street,12246
3/14/2018,Stony Brook,3103
3/14/2018,Suffolk Downs,251
3/14/2018,Sullivan Square,7650
3/14/2018,Symphony,1595
3/14/2018,Tufts Medical Center,5426
3/14/2018,Wellington,5851
3/14/2018,Wonderland,5612
3/14/2018,Wood Island,1513
3/14/2018,World Trade Center,831
3/15/2018,Airport,7100
3/15/2018,Alewife,11679
3/15/2018,Andrew,6239
3/15/2018,Aquarium,4495
3/15/2018,Arlington,7429
3/15/2018,Ashmont,9139
3/15/2018,Assembly,3547
3/15/2018,Back Bay,16663
3/15/2018,Beachmont,3088
3/15/2018,Bowdoin,2012
3/15/2018,Boylston,6568
3/15/2018,Braintree,4241
3/15/2018,Broadway,6375
3/15/2018,Central,16514
3/15/2018,Charles MGH,10656
3/15/2018,Chinatown,6704
3/15/2018,Community College,2898
3/15/2018,Copley,13108
3/15/2018,Courthouse,2159
3/15/2018,Davis,12386
3/15/2018,Downtown Crossing,25161
3/15/2018,Fields Corner,4980
3/15/2018,Forest Hills,13548
3/15/2018,Government Center,7078
3/15/2018,Green Street,2974
3/15/2018,Harvard,19134
3/15/2018,Haymarket,10801
3/15/2018,Hynes Convention Center,8069
3/15/2018,Jackson Square,5871
3/15/2018,JFK/Umass,6045
3/15/2018,Kendall/MIT,18418
3/15/2018,Kenmore,7300
3/15/2018,Lechmere,6088
3/15/2018,Malden Center,10836
3/15/2018,Massachusetts Ave.,4706
3/15/2018,Maverick,11111
3/15/2018,North Quincy,8804
3/15/2018,North Station,15437
3/15/2018,Oak Grove,6456
3/15/2018,Orient Heights,4314
3/15/2018,Park Street,14280
3/15/2018,Porter,8700
3/15/2018,Prudential,3642
3/15/2018,Quincy Adams,4857
3/15/2018,Quincy Center,7481
3/15/2018,Revere Beach,2951
3/15/2018,Riverside,1624
3/15/2018,Roxbury Crossing,4792
3/15/2018,Ruggles,10796
3/15/2018,Savin Hill,2329
3/15/2018,Science Park,851
3/15/2018,Shawmut,2240
3/15/2018,South Station,25943
3/15/2018,State Street,13702
3/15/2018,Stony Brook,3733
3/15/2018,Suffolk Downs,381
3/15/2018,Sullivan Square,8867
3/15/2018,Symphony,1915
3/15/2018,Tufts Medical Center,6498
3/15/2018,Wellington,7244
3/15/2018,Wonderland,6560
3/15/2018,Wood Island,2249
3/15/2018,World Trade Center,1142
3/16/2018,Airport,6999
3/16/2018,Alewife,11423
3/16/2018,Andrew,6194
3/16/2018,Aquarium,4935
3/16/2018,Arlington,7091
3/16/2018,Ashmont,8206
3/16/2018,Assembly,3346
3/16/2018,Back Bay,15904
3/16/2018,Beachmont,3005
3/16/2018,Bowdoin,1944
3/16/2018,Boylston,5973
3/16/2018,Braintree,4397
3/16/2018,Broadway,5919
3/16/2018,Central,16227
3/16/2018,Charles MGH,9875
3/16/2018,Chinatown,6844
3/16/2018,Community College,2626
3/16/2018,Copley,13986
3/16/2018,Courthouse,2246
3/16/2018,Davis,12375
3/16/2018,Downtown Crossing,26077
3/16/2018,Fields Corner,4917
3/16/2018,Forest Hills,13185
3/16/2018,Government Center,7605
3/16/2018,Green Street,3025
3/16/2018,Harvard,19603
3/16/2018,Haymarket,12912
3/16/2018,Hynes Convention Center,8438
3/16/2018,Jackson Square,5720
3/16/2018,JFK/Umass,6179
3/16/2018,Kendall/MIT,16907
3/16/2018,Kenmore,8099
3/16/2018,Lechmere,6093
3/16/2018,Malden Center,11176
3/16/2018,Massachusetts Ave.,4534
3/16/2018,Maverick,11157
3/16/2018,North Quincy,8235
3/16/2018,North Station,16491
3/16/2018,Oak Grove,6394
3/16/2018,Orient Heights,4073
3/16/2018,Park Street,14702
3/16/2018,Porter,8310
3/16/2018,Prudential,3937
3/16/2018,Quincy Adams,4514
3/16/2018,Quincy Center,7519
3/16/2018,Revere Beach,2896
3/16/2018,Riverside,1712
3/16/2018,Roxbury Crossing,4757
3/16/2018,Ruggles,10699
3/16/2018,Savin Hill,2168
3/16/2018,Science Park,1053
3/16/2018,Shawmut,1904
3/16/2018,South Station,24872
3/16/2018,State Street,14072
3/16/2018,Stony Brook,3784
3/16/2018,Suffolk Downs,376
3/16/2018,Sullivan Square,8659
3/16/2018,Symphony,2202
3/16/2018,Tufts Medical Center,6358
3/16/2018,Wellington,6952
3/16/2018,Wonderland,6663
3/16/2018,Wood Island,2054
3/16/2018,World Trade Center,1420
3/17/2018,Airport,5004
3/17/2018,Alewife,5344
3/17/2018,Andrew,3094
3/17/2018,Aquarium,4078
3/17/2018,Arlington,3891
3/17/2018,Ashmont,4143
3/17/2018,Assembly,2598
3/17/2018,Back Bay,7110
3/17/2018,Beachmont,1748
3/17/2018,Bowdoin,581
3/17/2018,Boylston,5801
3/17/2018,Braintree,2333
3/17/2018,Broadway,3475
3/17/2018,Central,9532
3/17/2018,Charles MGH,3524
3/17/2018,Chinatown,4810
3/17/2018,Community College,1314
3/17/2018,Copley,10009
3/17/2018,Courthouse,870
3/17/2018,Davis,7035
3/17/2018,Downtown Crossing,12966
3/17/2018,Fields Corner,2798
3/17/2018,Forest Hills,6430
3/17/2018,Government Center,5745
3/17/2018,Green Street,1391
3/17/2018,Harvard,12902
3/17/2018,Haymarket,11014
3/17/2018,Hynes Convention Center,6367
3/17/2018,Jackson Square,3061
3/17/2018,JFK/Umass,2968
3/17/2018,Kendall/MIT,5326
3/17/2018,Kenmore,6356
3/17/2018,Lechmere,4009
3/17/2018,Malden Center,5899
3/17/2018,Massachusetts Ave.,2414
3/17/2018,Maverick,7078
3/17/2018,North Quincy,3829
3/17/2018,North Station,7171
